sid,sname,preview_url,album_art,duration
137221,Wes Come Back,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/fb/48/38/fb483856-59f5-aa3b-8f4a-9fe6275b07b3/mzaf_10494918037834201072.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music71/v4/3b/aa/59/3baa59ac-2adc-d4f0-587c-ccd460d0f50e/888915285640_cover.jpg/88x88bb.jpg,145777
137261,Spooky,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/0c/4d/1d/0c4d1d93-8612-817e-68bc-3bced8ddf47d/mzaf_15211012008079430130.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/cd/15/f3/cd15f34e-7d91-d861-7cea-7a990821370a/mzi.btmypltj.jpg/88x88bb.jpg,155133
137222,Just Me and You,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/56/df/30/56df300b-1641-8e52-9f78-3b992e229481/mzaf_11969263695765880392.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music122/v4/81/9a/fc/819afc14-3f4d-1fec-c4bf-10270b92e7d7/cover.jpg/88x88bb.jpg,146840
137223,Spooky (feat. Ashleigh Murray),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/89/3c/21/893c21af-be89-110f-bd6c-a5c6785b5c66/mzaf_11466716778092346186.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/ce/fb/b2/cefbb212-f2c0-2d6e-4952-a4fe732e7a36/794043194511.jpg/88x88bb.jpg,160049
137225,This Is How It's All Going Down,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/97/d3/a1/97d3a1f1-7c90-0e6e-d1fe-db8b15de7e5e/mzaf_9753997079727143413.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music113/v4/30/1b/6d/301b6db0-95a4-501d-e710-074cb6794449/018736654381_cover.jpg/88x88bb.jpg,140011
137224,Sweet Little Sixteen,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/45/9b/6c/459b6c36-1333-167f-8a96-f4f8bf1429bf/mzaf_1451295240803302486.plus.aac.p.m4a,https://i.scdn.co/image/ab67616d00004851e89f44a7e3cb0f8f31aa1ed3,182466
137226,Spooky,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/c4/92/82/c49282d2-a6fc-2827-3ba9-5eabde44698a/mzaf_6812014562315931440.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music128/v4/3f/99/26/3f9926c1-a800-78fc-7a5d-cab431ed7e14/00602547541536.rgb.jpg/88x88bb.jpg,192293
246640,Chains,,,0
135906,LEAN BACK,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/25/b2/12/25b2128c-3630-2ce5-472a-3db0ff3b182d/mzaf_4344833016227092705.plus.aac.p.m4a,https://i.scdn.co/image/ab67616d0000485138574d7b14832424a57aa3b1,210816
84563,Ghost Dance,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/27/3f/d1/273fd10f-2cc4-81a6-7639-0745c9a2a625/mzaf_3632108124533718625.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music1/v4/19/28/8d/19288dba-a880-c00e-c359-f6f75e99dd17/889176191589.jpg/88x88bb.jpg,155213
246641,I'm The Master,,,0
137679,"Mad World (feat. K.J. Apa, Camila Mendes & Lili Reinhart)",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/2a/c1/fc/2ac1fc82-1f9c-2ea4-22f5-28fea45e7433/mzaf_4844298923822256116.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/ce/fb/b2/cefbb212-f2c0-2d6e-4952-a4fe732e7a36/794043194511.jpg/88x88bb.jpg,188180
138085,Man,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/fc/29/d2/fc29d201-548f-8bc0-2113-6866a8729a1e/mzaf_1498390056885402024.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music7/v4/25/56/73/255673bb-6bab-30d2-aaf1-3937717e26d6/cover.jpg/88x88bb.jpg,209555
137611,Bruises,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/55/1e/08/551e0800-852f-b9f1-ce43-32060ee2f2ef/mzaf_12777453159361738572.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music125/v4/32/64/44/32644414-1660-c313-ff25-0387fc508a60/00602577530906.rgb.jpg/88x88bb.jpg,220492
246642,Falling Hearts,,,0
